,champ,side,x,y,second
0,zac,blue,0.2080536912751678,0.21428571428571427,70
1,gragas,blue,0.30201342281879195,0.487012987012987,70
2,azir,blue,0.5033557046979866,0.538961038961039,70
3,missfortune,blue,,,70
4,braum,blue,,,70
5,ornn,blue,,,70
6,trundle,blue,0.5570469798657718,0.2532467532467532,70
7,corki,blue,,,70
8,aphelios,blue,0.9530201342281879,0.6623376623376623,70
9,janna,blue,0.8389261744966443,0.551948051948052,70
19,janna,blue,0.8120805369127517,0.5584415584415584,71
18,aphelios,blue,0.959731543624161,0.6688311688311688,71
17,corki,blue,,,71
15,ornn,blue,,,71
16,trundle,blue,0.5369127516778524,0.24025974025974026,71
13,missfortune,blue,,,71
12,azir,blue,0.5167785234899329,0.5584415584415584,71
11,gragas,blue,0.28187919463087246,0.4935064935064935,71
10,zac,blue,0.2080536912751678,0.21428571428571427,71
14,braum,blue,,,71
29,janna,blue,0.8053691275167785,0.577922077922078,72
28,aphelios,blue,,,72
27,corki,blue,,,72
26,trundle,blue,0.5100671140939598,0.23376623376623376,72
25,ornn,blue,0.5033557046979866,0.12987012987012986,72
24,braum,blue,,,72
22,azir,blue,0.5302013422818792,0.577922077922078,72
21,gragas,blue,0.2550335570469799,0.5064935064935064,72
20,zac,blue,0.2080536912751678,0.21428571428571427,72
23,missfortune,blue,,,72
37,corki,blue,,,74
39,janna,blue,0.8053691275167785,0.5974025974025974,74
38,aphelios,blue,,,74
35,ornn,blue,,,74
36,trundle,blue,0.4899328859060403,0.22077922077922077,74
33,missfortune,blue,,,74
30,zac,blue,0.2080536912751678,0.21428571428571427,74
31,gragas,blue,0.24161073825503357,0.5194805194805194,74
34,braum,blue,,,74
32,azir,blue,0.5436241610738255,0.5974025974025974,74
40,zac,blue,,,75
41,gragas,blue,0.2483221476510067,0.538961038961039,75
42,azir,blue,,,75
43,missfortune,blue,,,75
45,ornn,blue,,,75
46,trundle,blue,0.4966442953020134,0.22077922077922077,75
47,corki,blue,,,75
48,aphelios,blue,,,75
49,janna,blue,0.8120805369127517,0.6103896103896104,75
44,braum,blue,,,75
59,janna,blue,0.8053691275167785,0.6168831168831169,76
55,ornn,blue,0.42953020134228187,0.12337662337662338,76
58,aphelios,blue,,,76
57,corki,blue,0.697986577181208,0.5584415584415584,76
56,trundle,blue,,,76
54,braum,blue,,,76
52,azir,blue,,,76
51,gragas,blue,0.2483221476510067,0.5454545454545454,76
50,zac,blue,0.2080536912751678,0.2077922077922078,76
53,missfortune,blue,,,76
69,janna,blue,0.8120805369127517,0.6168831168831169,77
68,aphelios,blue,,,77
67,corki,blue,0.697986577181208,0.5584415584415584,77
66,trundle,blue,0.5033557046979866,0.22727272727272727,77
65,ornn,blue,0.40939597315436244,0.12987012987012986,77
64,braum,blue,,,77
62,azir,blue,,,77
61,gragas,blue,0.2483221476510067,0.5454545454545454,77
60,zac,blue,,,77
63,missfortune,blue,,,77
77,corki,blue,0.697986577181208,0.5584415584415584,78
79,janna,blue,0.825503355704698,0.6103896103896104,78
78,aphelios,blue,,,78
75,ornn,blue,0.3825503355704698,0.13636363636363635,78
76,trundle,blue,0.5033557046979866,0.22727272727272727,78
73,missfortune,blue,,,78
70,zac,blue,,,78
71,gragas,blue,0.2483221476510067,0.5454545454545454,78
74,braum,blue,,,78
72,azir,blue,,,78
80,zac,blue,,,79
81,gragas,blue,0.2483221476510067,0.5454545454545454,79
82,azir,blue,,,79
83,missfortune,blue,,,79
84,braum,blue,,,79
85,ornn,blue,,,79
86,trundle,blue,0.5033557046979866,0.22727272727272727,79
87,corki,blue,0.697986577181208,0.5584415584415584,79
88,aphelios,blue,,,79
89,janna,blue,0.8187919463087249,0.6168831168831169,79
96,trundle,blue,0.5033557046979866,0.22727272727272727,80
99,janna,blue,0.8322147651006712,0.6168831168831169,80
98,aphelios,blue,,,80
97,corki,blue,0.697986577181208,0.5584415584415584,80
95,ornn,blue,,,80
94,braum,blue,,,80
93,missfortune,blue,,,80
92,azir,blue,,,80
91,gragas,blue,0.2483221476510067,0.5454545454545454,80
90,zac,blue,,,80
109,janna,blue,0.8120805369127517,0.6168831168831169,81
108,aphelios,blue,0.9530201342281879,0.7142857142857143,81
107,corki,blue,0.697986577181208,0.5584415584415584,81
106,trundle,blue,0.5033557046979866,0.22727272727272727,81
105,ornn,blue,0.3221476510067114,0.16233766233766234,81
103,missfortune,blue,,,81
102,azir,blue,,,81
101,gragas,blue,0.2483221476510067,0.5454545454545454,81
100,zac,blue,,,81
104,braum,blue,,,81
115,ornn,blue,,,82
118,aphelios,blue,0.9530201342281879,0.7207792207792207,82
117,corki,blue,0.6912751677852349,0.564935064935065,82
116,trundle,blue,0.5033557046979866,0.22727272727272727,82
119,janna,blue,0.8120805369127517,0.6168831168831169,82
114,braum,blue,,,82
112,azir,blue,,,82
110,zac,blue,,,82
113,missfortune,blue,,,82
111,gragas,blue,0.2483221476510067,0.5454545454545454,82
120,zac,blue,,,83
121,gragas,blue,0.2483221476510067,0.5454545454545454,83
122,azir,blue,,,83
123,missfortune,blue,,,83
124,braum,blue,,,83
126,trundle,blue,0.5033557046979866,0.22727272727272727,83
127,corki,blue,0.6644295302013423,0.564935064935065,83
128,aphelios,blue,,,83
129,janna,blue,,,83
125,ornn,blue,,,83
139,janna,blue,0.8523489932885906,0.6363636363636364,84
135,ornn,blue,,,84
138,aphelios,blue,0.9463087248322147,0.7207792207792207,84
137,corki,blue,0.6442953020134228,0.5714285714285714,84
136,trundle,blue,0.5033557046979866,0.22727272727272727,84
134,braum,blue,,,84
132,azir,blue,0.5100671140939598,0.525974025974026,84
131,gragas,blue,0.2483221476510067,0.5454545454545454,84
130,zac,blue,,,84
133,missfortune,blue,,,84
149,janna,blue,0.87248322147651,0.6558441558441559,85
148,aphelios,blue,,,85
147,corki,blue,,,85
146,trundle,blue,0.5033557046979866,0.22727272727272727,85
145,ornn,blue,,,85
144,braum,blue,,,85
142,azir,blue,0.5100671140939598,0.5324675324675324,85
141,gragas,blue,0.2483221476510067,0.5454545454545454,85
140,zac,blue,,,85
143,missfortune,blue,,,85
157,corki,blue,,,86
159,janna,blue,0.8926174496644296,0.6558441558441559,86
158,aphelios,blue,,,86
155,ornn,blue,,,86
156,trundle,blue,0.5234899328859061,0.24025974025974026,86
153,missfortune,blue,,,86
150,zac,blue,,,86
151,gragas,blue,0.2483221476510067,0.551948051948052,86
154,braum,blue,,,86
152,azir,blue,,,86
160,zac,blue,,,87
161,gragas,blue,0.2550335570469799,0.551948051948052,87
162,azir,blue,,,87
163,missfortune,blue,,,87
164,braum,blue,,,87
165,ornn,blue,0.28859060402684567,0.14285714285714285,87
166,trundle,blue,0.5436241610738255,0.24675324675324675,87
167,corki,blue,,,87
168,aphelios,blue,,,87
169,janna,blue,0.9194630872483222,0.6493506493506493,87
176,trundle,blue,0.5436241610738255,0.2532467532467532,88
179,janna,blue,0.9395973154362416,0.6558441558441559,88
178,aphelios,blue,,,88
177,corki,blue,,,88
175,ornn,blue,0.2751677852348993,0.12337662337662338,88
174,braum,blue,,,88
173,missfortune,blue,,,88
172,azir,blue,,,88
171,gragas,blue,0.26174496644295303,0.551948051948052,88
170,zac,blue,,,88
180,zac,blue,,,89
181,gragas,blue,0.2550335570469799,0.551948051948052,89
182,azir,blue,,,89
183,missfortune,blue,,,89
184,braum,blue,,,89
185,ornn,blue,0.2550335570469799,0.11038961038961038,89
186,trundle,blue,0.5369127516778524,0.24675324675324675,89
187,corki,blue,0.5704697986577181,0.5454545454545454,89
188,aphelios,blue,,,89
189,janna,blue,0.9395973154362416,0.6818181818181818,89
197,corki,blue,,,90
196,trundle,blue,0.5302013422818792,0.2532467532467532,90
199,janna,blue,0.9328859060402684,0.7077922077922078,90
198,aphelios,blue,,,90
195,ornn,blue,0.2348993288590604,0.11038961038961038,90
194,braum,blue,,,90
193,missfortune,blue,,,90
192,azir,blue,,,90
191,gragas,blue,0.2550335570469799,0.5584415584415584,90
190,zac,blue,,,90
209,janna,blue,0.9395973154362416,0.7272727272727273,91
208,aphelios,blue,,,91
207,corki,blue,0.5503355704697986,0.525974025974026,91
206,trundle,blue,0.5369127516778524,0.2532467532467532,91
205,ornn,blue,,,91
204,braum,blue,,,91
203,missfortune,blue,,,91
202,azir,blue,,,91
201,gragas,blue,0.2483221476510067,0.5584415584415584,91
200,zac,blue,,,91
219,janna,blue,0.9530201342281879,0.7467532467532467,92
218,aphelios,blue,,,92
217,corki,blue,0.5637583892617449,0.5064935064935064,92
216,trundle,blue,0.5436241610738255,0.24675324675324675,92
215,ornn,blue,,,92
213,missfortune,blue,,,92
212,azir,blue,,,92
211,gragas,blue,0.24161073825503357,0.551948051948052,92
210,zac,blue,,,92
214,braum,blue,,,92
224,braum,blue,,,93
220,zac,blue,,,93
221,gragas,blue,0.2483221476510067,0.551948051948052,93
222,azir,blue,,,93
223,missfortune,blue,,,93
225,ornn,blue,,,93
226,trundle,blue,0.5570469798657718,0.2532467532467532,93
227,corki,blue,,,93
228,aphelios,blue,,,93
229,janna,blue,0.9530201342281879,0.7467532467532467,93
236,trundle,blue,0.5570469798657718,0.2532467532467532,94
235,ornn,blue,,,94
238,aphelios,blue,,,94
237,corki,blue,,,94
239,janna,blue,0.959731543624161,0.7597402597402597,94
234,braum,blue,,,94
232,azir,blue,0.4899328859060403,0.512987012987013,94
230,zac,blue,,,94
233,missfortune,blue,,,94
231,gragas,blue,0.2483221476510067,0.551948051948052,94
240,zac,blue,,,95
241,gragas,blue,0.24161073825503357,0.5454545454545454,95
242,azir,blue,,,95
243,missfortune,blue,,,95
244,braum,blue,,,95
245,ornn,blue,,,95
246,trundle,blue,0.5570469798657718,0.2532467532467532,95
247,corki,blue,0.5704697986577181,0.4805194805194805,95
248,aphelios,blue,,,95
249,janna,blue,,,95
256,trundle,blue,0.5570469798657718,0.2532467532467532,96
259,janna,blue,,,96
258,aphelios,blue,,,96
257,corki,blue,0.5704697986577181,0.4805194805194805,96
255,ornn,blue,,,96
253,missfortune,blue,,,96
252,azir,blue,,,96
251,gragas,blue,0.2348993288590604,0.538961038961039,96
250,zac,blue,,,96
254,braum,blue,,,96
264,braum,blue,,,97
260,zac,blue,,,97
261,gragas,blue,0.2348993288590604,0.538961038961039,97
262,azir,blue,,,97
263,missfortune,blue,,,97
265,ornn,blue,,,97
266,trundle,blue,0.5637583892617449,0.2662337662337662,97
267,corki,blue,0.5704697986577181,0.461038961038961,97
268,aphelios,blue,,,97
269,janna,blue,,,97
276,trundle,blue,0.5637583892617449,0.2662337662337662,98
275,ornn,blue,,,98
278,aphelios,blue,,,98
277,corki,blue,,,98
279,janna,blue,,,98
274,braum,blue,,,98
272,azir,blue,0.5167785234899329,0.5194805194805194,98
270,zac,blue,,,98
273,missfortune,blue,,,98
