renekton,cassiopeia,Seconds
"(nan, nan)","(nan, nan)",128
"(nan, nan)","(nan, nan)",129
"(nan, nan)","(89.0, 60.0)",130
"(nan, nan)","(86.0, 63.0)",131
"(67.0, 82.0)","(83.0, 67.0)",132
"(80.0, 70.0)","(80.0, 70.0)",133
"(79.0, 71.0)","(79.0, 71.0)",134
"(79.0, 71.0)","(79.0, 71.0)",135
"(79.0, 71.0)","(79.0, 71.0)",136
"(79.0, 71.0)","(79.0, 71.0)",137
"(79.0, 71.0)","(79.0, 71.0)",138
"(79.0, 71.0)","(79.0, 71.0)",139
"(79.0, 71.0)","(79.0, 71.0)",140
"(79.0, 71.0)","(79.0, 71.0)",141
"(79.0, 71.0)","(79.0, 71.0)",142
"(79.0, 71.0)","(79.0, 71.0)",143
"(80.0, 71.0)","(80.0, 71.0)",144
"(81.0, 71.0)","(81.0, 71.0)",145
"(81.0, 71.0)","(81.0, 71.0)",146
"(81.0, 71.0)","(81.0, 71.0)",147
"(81.0, 71.0)","(81.0, 71.0)",148
"(81.0, 71.0)","(81.0, 71.0)",149
"(82.0, 71.0)","(82.0, 71.0)",150
"(82.0, 71.0)","(82.0, 71.0)",151
"(68.0, 80.0)","(82.0, 71.0)",152
"(68.0, 80.0)","(82.0, 71.0)",153
"(69.0, 80.0)","(82.0, 71.0)",154
"(69.0, 80.0)","(82.0, 71.0)",155
"(68.0, 80.0)","(81.0, 71.0)",156
"(68.0, 80.0)","(81.0, 71.0)",157
"(68.0, 80.0)","(81.0, 71.0)",158
"(68.0, 81.0)","(80.0, 72.0)",159
"(68.0, 81.0)","(80.0, 72.0)",160
"(67.0, 81.0)","(80.0, 72.0)",161
"(67.0, 81.0)","(80.0, 72.0)",162
"(67.0, 81.0)","(80.0, 72.0)",163
"(67.0, 81.0)","(80.0, 72.0)",164
"(67.0, 81.0)","(79.0, 73.0)",165
"(67.0, 81.0)","(79.0, 73.0)",166
"(66.0, 82.0)","(79.0, 73.0)",167
"(66.0, 82.0)","(78.0, 73.0)",168
"(66.0, 82.0)","(79.0, 72.0)",169
"(66.0, 82.0)","(79.0, 72.0)",170
"(66.0, 82.0)","(78.0, 73.0)",171
"(66.0, 82.0)","(77.0, 73.0)",172
"(66.0, 82.0)","(79.0, 70.0)",173
"(66.0, 82.0)","(79.0, 70.0)",174
"(66.0, 82.0)","(78.0, 72.0)",175
"(66.0, 82.0)","(77.0, 74.0)",176
"(66.0, 82.0)","(77.0, 74.0)",177
"(65.0, 83.0)","(77.0, 74.0)",178
"(65.0, 83.0)","(77.0, 74.0)",179
"(65.0, 83.0)","(77.0, 74.0)",180
"(65.0, 83.0)","(78.0, 73.0)",181
"(65.0, 83.0)","(78.0, 74.0)",182
"(77.0, 75.0)","(77.0, 75.0)",183
"(78.0, 74.0)","(78.0, 74.0)",184
"(77.0, 73.0)","(77.0, 73.0)",185
"(77.0, 73.0)","(77.0, 73.0)",186
"(79.0, 74.0)","(79.0, 74.0)",187
"(78.0, 76.0)","(78.0, 76.0)",188
"(79.0, 77.0)","(79.0, 77.0)",189
"(78.0, 79.0)","(78.0, 79.0)",190
"(77.0, 80.0)","(77.0, 80.0)",191
"(78.0, 79.0)","(78.0, 79.0)",192
"(75.0, 79.0)","(75.0, 79.0)",193
"(74.0, 78.0)","(74.0, 78.0)",194
"(76.0, 78.0)","(76.0, 78.0)",195
"(79.0, 76.0)","(79.0, 76.0)",196
"(81.0, 73.0)","(81.0, 73.0)",197
"(80.0, 70.0)","(80.0, 70.0)",198
"(76.0, 69.0)","(76.0, 69.0)",199
"(76.0, 70.0)","(76.0, 70.0)",200
"(77.0, 68.0)","(77.0, 68.0)",201
"(80.0, 66.0)","(80.0, 66.0)",202
"(82.0, 67.0)","(82.0, 67.0)",203
"(82.0, 70.0)","(82.0, 70.0)",204
"(80.0, 73.0)","(80.0, 73.0)",205
"(78.0, 75.0)","(78.0, 75.0)",206
"(74.0, 76.0)","(74.0, 76.0)",207
"(77.0, 76.0)","(77.0, 76.0)",208
"(80.0, 76.0)","(80.0, 76.0)",209
"(81.0, 76.0)","(81.0, 76.0)",210
"(71.0, 75.0)","(84.0, 74.0)",211
"(86.0, 71.0)","(86.0, 71.0)",212
"(83.0, 71.0)","(83.0, 71.0)",213
"(81.0, 72.0)","(81.0, 72.0)",214
"(80.0, 74.0)","(80.0, 74.0)",215
"(83.0, 75.0)","(83.0, 75.0)",216
"(82.0, 74.0)","(82.0, 74.0)",217
"(81.0, 74.0)","(81.0, 74.0)",218
"(82.0, 74.0)","(82.0, 74.0)",219
"(82.0, 74.0)","(82.0, 74.0)",220
"(81.0, 76.0)","(81.0, 76.0)",221
"(81.0, 75.0)","(81.0, 75.0)",222
"(82.0, 74.0)","(82.0, 74.0)",223
"(82.0, 74.0)","(82.0, 74.0)",224
"(82.0, 73.0)","(82.0, 73.0)",225
"(84.0, 72.0)","(84.0, 72.0)",226
"(82.0, 72.0)","(82.0, 72.0)",227
"(81.0, 72.0)","(81.0, 72.0)",228
"(80.0, 73.0)","(80.0, 73.0)",229
"(82.0, 72.0)","(82.0, 72.0)",230
"(83.0, 69.0)","(83.0, 69.0)",231
"(82.0, 67.0)","(82.0, 67.0)",232
"(73.0, 79.0)","(83.0, 68.0)",233
"(71.0, 81.0)","(84.0, 69.0)",234
"(69.0, 83.0)","(84.0, 71.0)",235
"(68.0, 85.0)","(82.0, 72.0)",236
"(79.0, 73.0)","(79.0, 73.0)",237
"(80.0, 71.0)","(80.0, 71.0)",238
"(78.0, 71.0)","(78.0, 71.0)",239
"(80.0, 72.0)","(80.0, 72.0)",240
"(80.0, 75.0)","(80.0, 75.0)",241
"(75.0, 77.0)","(80.0, 74.0)",242
"(71.0, 80.0)","(80.0, 74.0)",243
"(66.0, 82.0)","(80.0, 74.0)",244
"(71.0, 79.0)","(80.0, 73.0)",245
"(75.0, 75.0)","(80.0, 72.0)",246
"(80.0, 72.0)","(80.0, 72.0)",247
"(82.0, 73.0)","(82.0, 73.0)",248
"(80.0, 74.0)","(80.0, 74.0)",249
"(81.0, 74.0)","(81.0, 74.0)",250
"(81.0, 74.0)","(81.0, 74.0)",251
"(81.0, 73.0)","(81.0, 73.0)",252
"(82.0, 72.0)","(82.0, 72.0)",253
"(81.0, 72.0)","(81.0, 72.0)",254
"(81.0, 71.0)","(81.0, 71.0)",255
"(78.0, 71.0)","(78.0, 71.0)",256
"(75.0, 71.0)","(75.0, 71.0)",257
"(76.0, 71.0)","(76.0, 71.0)",258
"(78.0, 70.0)","(78.0, 70.0)",259
"(78.0, 70.0)","(78.0, 70.0)",260
"(77.0, 72.0)","(77.0, 72.0)",261
"(77.0, 73.0)","(77.0, 73.0)",262
"(75.0, 74.0)","(75.0, 74.0)",263
"(78.0, 73.0)","(78.0, 73.0)",264
"(76.0, 73.0)","(76.0, 73.0)",265
"(63.0, 82.0)","(78.0, 74.0)",266
"(64.0, 81.0)","(79.0, 75.0)",267
"(65.0, 81.0)","(78.0, 72.0)",268
"(66.0, 80.0)","(79.0, 72.0)",269
"(66.0, 80.0)","(80.0, 73.0)",270
"(66.0, 80.0)","(81.0, 76.0)",271
"(66.0, 80.0)","(83.0, 80.0)",272
"(67.0, 81.0)","(84.0, 83.0)",273
"(67.0, 81.0)","(86.0, 86.0)",274
"(67.0, 81.0)","(84.0, 85.0)",275
"(66.0, 81.0)","(82.0, 84.0)",276
"(65.0, 81.0)","(80.0, 83.0)",277
"(70.0, 81.0)","(78.0, 82.0)",278
"(76.0, 81.0)","(76.0, 81.0)",279
"(75.0, 79.0)","(75.0, 79.0)",280
"(74.0, 78.0)","(74.0, 78.0)",281
"(75.0, 77.0)","(75.0, 77.0)",282
"(78.0, 75.0)","(78.0, 75.0)",283
"(75.0, 73.0)","(75.0, 73.0)",284
"(73.0, 73.0)","(73.0, 73.0)",285
"(72.0, 74.0)","(72.0, 74.0)",286
"(74.0, 73.0)","(74.0, 73.0)",287
"(75.0, 74.0)","(75.0, 74.0)",288
"(75.0, 75.0)","(75.0, 75.0)",289
"(78.0, 74.0)","(78.0, 74.0)",290
"(77.0, 73.0)","(77.0, 73.0)",291
